date,credit_risk_ratio
2007-05-15,0.6375454401443097
2007-05-16,0.6377422262838581
2007-05-17,0.6394735024883317
2007-05-18,0.6414589116054359
2007-05-21,0.6412215979966593
2007-05-22,0.6433339423907357
2007-05-23,0.6434551228525249
2007-05-24,0.6428497303354878
2007-05-25,0.6441848856716519
2007-05-29,0.6429049315214767
2007-05-30,0.643879737368621
2007-05-31,0.6433924788115507
2007-06-01,0.6457811812270766
2007-06-04,0.645289755979202
2007-06-05,0.6464584493600587
2007-06-06,0.6451047537715099
2007-06-07,0.6490180872921002
2007-06-08,0.6469667241550789
2007-06-11,0.6475942586025675
2007-06-12,0.6477953986059906
2007-06-13,0.6461011943802836
2007-06-14,0.6467870091817632
2007-06-15,0.644108581515117
2007-06-18,0.6445436241026595
2007-06-19,0.641214344068617
2007-06-20,0.6385875953201291
2007-06-21,0.6414325071928973
2007-06-22,0.640946191092672
2007-06-25,0.6364890054951212
2007-06-26,0.6384708339049796
2007-06-27,0.6362394163508593
2007-06-28,0.6335613749552549
2007-06-29,0.6281978366387108
2007-07-02,0.6346933907177889
2007-07-03,0.6333881255245979
2007-07-05,0.6351841641181845
2007-07-06,0.6371075862605176
2007-07-09,0.6377522931038818
2007-07-10,0.6317163182697094
2007-07-11,0.6298391281904957
2007-07-12,0.6342261092414505
2007-07-13,0.6340912078591121
2007-07-16,0.6326902387376291
2007-07-17,0.6347831629279586
2007-07-18,0.6282205136354866
2007-07-19,0.6302392475871156
2007-07-20,0.6268639805030431
2007-07-23,0.6262180500583983
2007-07-24,0.6233882203941127
2007-07-25,0.6169898745802178
2007-07-26,0.6095626521826327
2007-07-27,0.6015955302954173
2007-07-30,0.6064809406175595
2007-07-31,0.608840247823434
2007-08-01,0.6056232839065634
2007-08-02,0.6099057488767883
2007-08-03,0.6068989578149254
2007-08-06,0.6076992874944874
2007-08-07,0.6103738995375715
2007-08-08,0.6169185894203927
2007-08-09,0.6168301224497051
2007-08-10,0.6183280635145857
2007-08-13,0.6206847056867351
2007-08-14,0.6120089279079436
2007-08-15,0.6170962437046786
2007-08-16,0.6223475981435473
2007-08-17,0.6275528378834987
2007-08-20,0.6171318992666494
2007-08-21,0.6127025928449159
2007-08-22,0.6161966316049926
2007-08-23,0.6196326721403433
2007-08-24,0.619818065425274
2007-08-27,0.6255328726429051
2007-08-28,0.6180648854105604
2007-08-29,0.6233859965155948
2007-08-30,0.6228388126662052
2007-08-31,0.6255366463208194
2007-09-04,0.6312875095903648
2007-09-05,0.6290681614901286
2007-09-06,0.6301382966258999
2007-09-07,0.6195783146750543
2007-09-10,0.620399490803446
2007-09-11,0.6291339676251588
2007-09-12,0.6345765053002443
2007-09-13,0.6332528497973174
2007-09-14,0.6374454634128107
2007-09-17,0.6406017537391918
2007-09-18,0.6436501461199249
2007-09-19,0.6596028838082593
2007-09-20,0.6446121698635073
2007-09-21,0.6432035335230709
2007-09-24,0.6443390176553812
2007-09-25,0.6462500748005126
2007-09-26,0.642314532391882
2007-09-27,0.6387062183325106
2007-09-28,0.639129966428431
2007-10-01,0.6457363382798725
2007-10-02,0.647601149199871
2007-10-03,0.6412842760077355
2007-10-04,0.63894740655276
2007-10-05,0.6419322050431061
2007-10-08,0.641835021972202
2007-10-09,0.6451412180541191
2007-10-10,0.6423217291124843
2007-10-11,0.6419059954399974
2007-10-12,0.6461316720507068
2007-10-15,0.6471890166774161
2007-10-16,0.6436238689784196
2007-10-17,0.6326882724419276
2007-10-18,0.6323220906715402
2007-10-19,0.6254356332217784
2007-10-22,0.6196559474815261
2007-10-23,0.6285374252533676
2007-10-24,0.6247104502060389
2007-10-25,0.6270919072675121
2007-10-26,0.6295603493321604
2007-10-29,0.6299723814586117
2007-10-30,0.6288123143718692
2007-10-31,0.6360563012373712
2007-11-01,0.6271359528133259
2007-11-02,0.6295123993174918
2007-11-05,0.6276606619869521
2007-11-06,0.6348100897111411
2007-11-07,0.6344283117472964
2007-11-08,0.6253796417421601
2007-11-09,0.6253692558711323
2007-11-12,0.6280653418780352
2007-11-13,0.6287543928848531
2007-11-14,0.6330044054964736
2007-11-15,0.630413171817854
2007-11-16,0.630538565491799
2007-11-19,0.625724088681713
2007-11-20,0.62352728957223
2007-11-21,0.6075332494649878
2007-11-23,0.6094106281565881
2007-11-26,0.6060841938034506
2007-11-27,0.6122392478320637
2007-11-28,0.6223730153842492
2007-11-29,0.6230940132729039
2007-11-30,0.6225571185091338
2007-12-03,0.6286147255894221
2007-12-04,0.6259259975317474
2007-12-05,0.6208990012722361
2007-12-06,0.6310930178445878
2007-12-07,0.6362332452474638
2007-12-10,0.6348675810471023
2007-12-11,0.6281557322753801
2007-12-12,0.6335493485170627
2007-12-13,0.6368805727114445
2007-12-14,0.6451157358562561
2007-12-17,0.6354771259508205
2007-12-18,0.6341547658872156
2007-12-19,0.632312036389316
2007-12-20,0.6340209558240036
2007-12-21,0.6366809509719226
2007-12-24,0.6376675325455562
2007-12-26,0.6346663519195962
2007-12-27,0.635086379972367
2007-12-28,0.6269072654067158
2007-12-31,0.6270808641295277
2008-01-02,0.6122448517608866
2008-01-03,0.6130979554352058
2008-01-04,0.6074212493830576
2008-01-07,0.6045455021673174
2008-01-08,0.6021823901369886
2008-01-09,0.596845861249742
2008-01-10,0.6030397342085992
2008-01-11,0.5999668868223881
2008-01-14,0.6003641715010715
2008-01-15,0.5986840834070746
2008-01-16,0.5989100625952691
2008-01-17,0.5919010647130202
2008-01-18,0.5975440768089971
2008-01-22,0.5921126596853327
2008-01-23,0.5924958854384638
2008-01-24,0.6050644897347425
2008-01-25,0.5994978360722891
2008-01-28,0.5969298346861808
2008-01-29,0.5985415218301312
2008-01-30,0.6009669642005991
2008-01-31,0.600224803054198
2008-02-01,0.5980181082737558
2008-02-04,0.599758666398806
2008-02-05,0.5928916147057919
2008-02-06,0.594882563328613
2008-02-07,0.5992652376786235
2008-02-08,0.5925094144925406
2008-02-11,0.5860597951493988
2008-02-12,0.589101749683827
2008-02-13,0.5935366754502991
2008-02-14,0.5977629929540629
2008-02-15,0.594344760939238
2008-02-19,0.5971972509295086
2008-02-20,0.597447620702301
2008-02-21,0.5954115815542489
2008-02-22,0.5988003666316387
2008-02-25,0.604470832188506
2008-02-26,0.6040149506074226
2008-02-27,0.6044663986856872
2008-02-28,0.5992491464636412
2008-02-29,0.5931944125120008
2008-03-03,0.5933663963203866
2008-03-04,0.5961777891172051
2008-03-05,0.6020954131293927
2008-03-06,0.6013329301287647
2008-03-07,0.6013436075133813
2008-03-10,0.6000737576439925
2008-03-11,0.6085418708713837
2008-03-12,0.6011702949116929
2008-03-13,0.6035018535848707
2008-03-14,0.6002230892279345
2008-03-17,0.5925862921118399
2008-03-18,0.6024051957392222
2008-03-19,0.6004301935239925
2008-03-20,0.6000937019997468
2008-03-24,0.6058263165605448
2008-03-25,0.6046745596875476
2008-03-26,0.6024901949342285
2008-03-27,0.6042379784863074
2008-03-28,0.6013251118322903
2008-03-31,0.6024040379195416
2008-04-01,0.6060180344458516
2008-04-02,0.6052895777099525
2008-04-03,0.6039350307220491
2008-04-04,0.5989921720040283
2008-04-07,0.6030794116313172
2008-04-08,0.6072953920869751
2008-04-09,0.603787128511996
2008-04-10,0.6053926215421238
2008-04-11,0.5999712088403397
2008-04-14,0.6058118678908183
2008-04-15,0.6070216166136585
2008-04-16,0.6131646352428922
2008-04-17,0.6122088428269916
2008-04-18,0.6136560761579143
2008-04-21,0.6146460853552445
2008-04-22,0.6168193659048584
2008-04-23,0.6174433560609457
2008-04-24,0.6184587960743803
2008-04-25,0.6211146812312369
2008-04-28,0.6217847813310245
2008-04-29,0.6180302288348679
2008-04-30,0.6152095877796296
2008-05-01,0.6245963932639977
2008-05-02,0.6219099811037206
2008-05-05,0.6200310442645315
2008-05-06,0.6195999735118262
2008-05-07,0.6183898046056163
2008-05-08,0.6143352421686771
2008-05-09,0.615641409823716
2008-05-12,0.6154139216083716
2008-05-13,0.6187416548760146
2008-05-14,0.6175129875905806
2008-05-15,0.6150434658321289
2008-05-16,0.616729667989854
2008-05-19,0.6190399482217195
2008-05-20,0.6176237530439775
2008-05-21,0.6191976558253842
2008-05-22,0.6251493746250564
2008-05-23,0.6185709743915822
2008-05-27,0.6188402626140814
2008-05-28,0.6259109396424302
2008-05-29,0.6283153257099129
2008-05-30,0.6258827732030289
2008-06-02,0.6185876847580147
2008-06-03,0.6166421994300418
2008-06-04,0.617916608125783
2008-06-05,0.6239253484953827
2008-06-06,0.6191150979261129
2008-06-09,0.6216375627646253
2008-06-10,0.6254753706164742
2008-06-11,0.6255907982158749
2008-06-12,0.6299138278686
2008-06-13,0.6360239639230585
2008-06-16,0.6249895220485235
2008-06-17,0.6240631066475446
2008-06-18,0.6223024770420189
2008-06-19,0.6215933660420343
2008-06-20,0.6187661305786345
2008-06-23,0.6167417650824648
2008-06-24,0.6145123542293331
2008-06-25,0.6161025508615517
2008-06-26,0.6107631191748991
2008-06-27,0.609679716532119
2008-06-30,0.6107732316416491
2008-07-01,0.6104036929477011
2008-07-02,0.6103694489260185
2008-07-03,0.6108943564287429
2008-07-07,0.6085789741033713
2008-07-08,0.6036657330839926
2008-07-09,0.601174681895097
2008-07-10,0.6054025486062603
2008-07-11,0.6093142667554414
2008-07-14,0.6075646447609521
2008-07-15,0.5982842813917193
2008-07-16,0.6050131208681745
2008-07-17,0.608878859532272
2008-07-18,0.6197765841918437
2008-07-21,0.6221506447290734
2008-07-22,0.6202810121999193
2008-07-23,0.6208033026529179
2008-07-24,0.6168114012140736
2008-07-25,0.6214051606086384
2008-07-28,0.6157150843114899
2008-07-29,0.61738261659367
2008-07-30,0.6145712661584742
2008-07-31,0.6119907528083468
2008-08-01,0.6114593150171218
2008-08-04,0.6071828222137584
2008-08-05,0.6141515023459535
2008-08-06,0.6091374744478244
2008-08-07,0.603414772654286
2008-08-08,0.6038651197078653
2008-08-11,0.6049141103375578
2008-08-12,0.6036247266844827
2008-08-13,0.6077187554285058
2008-08-14,0.6059748631496638
2008-08-15,0.605972280999906
2008-08-18,0.6043611736029525
2008-08-19,0.6064947689256227
2008-08-20,0.6063037355950841
2008-08-21,0.6090647423408256
2008-08-22,0.6053346545090266
2008-08-25,0.6047189932668158
2008-08-26,0.6007394291229456
2008-08-27,0.602342347443967
2008-08-28,0.6033113112528344
2008-08-29,0.6056200313796265
2008-09-02,0.6033704054278323
2008-09-03,0.6041450935984708
2008-09-04,0.6065893478641853
2008-09-05,0.6066644104167805
2008-09-08,0.6049257346877335
2008-09-09,0.6041482676152852
2008-09-10,0.6010545184486121
2008-09-11,0.6057648853707983
2008-09-12,0.6104279029093029
2008-09-15,0.592382838410982
2008-09-16,0.6179568779360904
2008-09-17,0.6087287281842212
2008-09-18,0.6479149775373491
2008-09-19,0.636301008357763
2008-09-22,0.6319803960321192
2008-09-23,0.6322974873330971
2008-09-24,0.6396379937794378
2008-09-25,0.6206564477648565
2008-09-26,0.6356841762099017
2008-09-29,0.6427741292107276
2008-09-30,0.6061256062316167
2008-10-01,0.626729918223097
2008-10-02,0.6194009290461538
2008-10-03,0.6174306757789577
2008-10-06,0.6019871751335591
2008-10-07,0.5809731155639367
2008-10-08,0.5607051252906603
2008-10-09,0.5626657608728378
2008-10-10,0.5557293871962785
2008-10-13,0.5913403760519037
2008-10-14,0.604675076113494
2008-10-15,0.5782891671116774
2008-10-16,0.5506044656750019
2008-10-17,0.5486697855622914
2008-10-20,0.5430968065565297
2008-10-21,0.5346682548307193
2008-10-22,0.5364097128629656
2008-10-23,0.542067095985046
2008-10-24,0.5264203368769846
2008-10-27,0.5028907229451006
2008-10-28,0.5119666998438831
2008-10-29,0.5263987529136317
2008-10-30,0.5448825266555405
2008-10-31,0.5473484763305563
2008-11-03,0.5473132960065906
2008-11-04,0.5497289313975864
2008-11-05,0.5348013972861199
2008-11-06,0.53115256158279
2008-11-07,0.5404845192619693
2008-11-10,0.5403191173977249
2008-11-11,0.5376279902320809
2008-11-12,0.5301310684393132
2008-11-13,0.5309577652769057
2008-11-14,0.5245968665417875
2008-11-17,0.5127733563230453
2008-11-18,0.5013703787574395
2008-11-19,0.4834933922708421
2008-11-20,0.4725737638628497
2008-11-21,0.47180571759821577
2008-11-24,0.47603854870496526
2008-11-25,0.4787212696014613
2008-11-26,0.4924456162142168
2008-11-28,0.4920090830263388
2008-12-01,0.47444472235632773
2008-12-02,0.47593883374445944
2008-12-03,0.4727159752238949
2008-12-04,0.46949052557107185
2008-12-05,0.47293033231134446
2008-12-08,0.4735285972806816
2008-12-09,0.46680731828596855
2008-12-10,0.46535213043426654
2008-12-11,0.4601870052370491
2008-12-12,0.4640424936941295
2008-12-15,0.4617677728188061
2008-12-16,0.46085457277203845
2008-12-17,0.46574600940108346
2008-12-18,0.4811295530254163
2008-12-19,0.4851178527069206
2008-12-22,0.4985406968808948
2008-12-23,0.5041517695740708
2008-12-24,0.4949937030660807
2008-12-26,0.5034860695075491
2008-12-29,0.5053068793642111
2008-12-30,0.5024548528877044
2008-12-31,0.5047692010813599
2009-01-02,0.5083773428080249
2009-01-05,0.5293033913349522
2009-01-06,0.5328737894878713
2009-01-07,0.5276479328783513
2009-01-08,0.5163050431059684
2009-01-09,0.5174653207570444
2009-01-12,0.5088427665563942
2009-01-13,0.5080863196415466
2009-01-14,0.5038169407344036
2009-01-15,0.500831952399649
2009-01-16,0.5048848243567833
2009-01-20,0.5036845098726096
2009-01-21,0.506280011703193
2009-01-22,0.5068072266052367
2009-01-23,0.5020515695892926
2009-01-26,0.5078868668841441
2009-01-27,0.503109725261739
2009-01-28,0.5168442220208695
2009-01-29,0.5100943231236876
2009-01-30,0.5088164950598375
2009-02-02,0.500388278535372
2009-02-03,0.5029598755716852
2009-02-04,0.5023429304157847
2009-02-05,0.5025978833046713
2009-02-06,0.5097114831415809
2009-02-09,0.512707318911451
2009-02-10,0.5068600896595089
2009-02-11,0.503962363663865
2009-02-12,0.5019857729356774
2009-02-13,0.5078506463803817
2009-02-17,0.49221743732114887
2009-02-18,0.49170487364053506
2009-02-19,0.49827177551293916
2009-02-20,0.49305699620786203
2009-02-23,0.4822943923337396
2009-02-24,0.49091217625235967
2009-02-25,0.49528462602586093
2009-02-26,0.48859613561679194
2009-02-27,0.4845986948001783
2009-03-02,0.47447926045469513
2009-03-03,0.47897991761993763
2009-03-04,0.47906116614800787
2009-03-05,0.45758088185880197
2009-03-06,0.4543995418807343
2009-03-09,0.46453465548810113
2009-03-10,0.48056684171353453
2009-03-11,0.4880590710598691
2009-03-12,0.49658594857172095
2009-03-13,0.4931352250768612
2009-03-16,0.49523873311327465
2009-03-17,0.49377479535484103
2009-03-18,0.4946007119516508
2009-03-19,0.48923251855746624
2009-03-20,0.49329644583810284
2009-03-23,0.5019345749570978
2009-03-24,0.5079014110996609
2009-03-25,0.5130935909857993
2009-03-26,0.5183618231475164
2009-03-27,0.511493794664147
2009-03-30,0.48790206025344485
2009-03-31,0.49152282745241016
2009-04-01,0.4930431489224434
2009-04-02,0.5108077820540531
2009-04-03,0.5212403180165528
2009-04-06,0.5198201699548096
2009-04-07,0.5140511737908255
2009-04-08,0.5149588575970694
2009-04-09,0.5260736696107463
2009-04-13,0.5206887256400506
2009-04-14,0.5166677988778792
2009-04-15,0.5170468400434427
2009-04-16,0.5230224611598937
2009-04-17,0.5351220814456432
2009-04-20,0.5184108760221039
2009-04-21,0.5226422614931867
2009-04-22,0.5264477988145223
2009-04-23,0.526314804128517
2009-04-24,0.5333014686034381
2009-04-27,0.5297518968241252
2009-04-28,0.5326128174957305
2009-04-29,0.5399123106357478
2009-04-30,0.5444612673136405
2009-05-01,0.5422572947120721
2009-05-04,0.5396717328396807
2009-05-05,0.5425769224241301
2009-05-06,0.5446460240674197
2009-05-07,0.5408833817077832
2009-05-08,0.5470914542461086
2009-05-11,0.5426113662187562
2009-05-12,0.5432306371042009
2009-05-13,0.5371376765974315
2009-05-14,0.530254984524727
2009-05-15,0.5229242253358102
2009-05-18,0.5348193867554605
2009-05-19,0.5362128185676592
2009-05-20,0.5410190222321262
2009-05-21,0.5395675035177367
2009-05-22,0.5477565876627672
2009-05-26,0.5465591881743835
2009-05-27,0.5513702628872483
2009-05-28,0.5512405970382085
2009-05-29,0.5473269016906607
2009-06-01,0.5604622768219739
2009-06-02,0.5547300576245019
2009-06-03,0.5487637018733801
2009-06-04,0.5528564659953362
2009-06-05,0.5575687110292147
2009-06-08,0.5597056913802265
2009-06-09,0.5565454165747994
2009-06-10,0.5588990888626236
2009-06-11,0.5582326703113601
2009-06-12,0.5569807821990986
2009-06-15,0.5485728509587304
2009-06-16,0.543664697275209
2009-06-17,0.5398660177806763
2009-06-18,0.5520487816032467
2009-06-19,0.5484659582519525
2009-06-22,0.5390618272283353
2009-06-23,0.5356390636148304
2009-06-24,0.5392089164682259
2009-06-25,0.5401181371322886
2009-06-26,0.5397115114175511
2009-06-29,0.5470600136457168
2009-06-30,0.5497758776166324
2009-07-01,0.5518794424328516
2009-07-02,0.5422069081292653
2009-07-06,0.5328395876791343
2009-07-07,0.5275117263019535
2009-07-08,0.5259151054204279
2009-07-09,0.533242391541344
2009-07-10,0.5270650835696493
2009-07-13,0.5285504737474943
2009-07-14,0.5317777910277925
2009-07-15,0.548588338884335
2009-07-16,0.546479073852857
2009-07-17,0.5486582665436982
2009-07-20,0.5540269115695328
2009-07-21,0.5489658411116588
2009-07-22,0.551108243127226
2009-07-23,0.5576478862757347
2009-07-24,0.5593917886763606
2009-07-27,0.5616860199270832
2009-07-28,0.5601501333337431
2009-07-29,0.5585516752479295
2009-07-30,0.5601008972154141
2009-07-31,0.5617893659821144
2009-08-03,0.568146195389503
2009-08-04,0.569803026765407
2009-08-05,0.5678549596238572
2009-08-06,0.5649079288754045
2009-08-07,0.5689753566023282
2009-08-10,0.5697852072996906
2009-08-11,0.565501131196993
2009-08-12,0.5690498743174135
2009-08-13,0.5564191626973359
2009-08-14,0.5537543778619198
2009-08-17,0.5393378074203242
2009-08-18,0.5500403698849459
2009-08-19,0.5505116065765027
2009-08-20,0.5462351525360238
2009-08-21,0.5562069361498793
2009-08-24,0.5504838875698462
2009-08-25,0.5494654179532327
2009-08-26,0.5479768194124746
2009-08-27,0.5476898174907634
2009-08-28,0.5477006051682779
2009-08-31,0.5451153649581041
2009-09-01,0.5427157686851285
2009-09-02,0.5382289093590865
2009-09-03,0.5407794252329049
2009-09-04,0.5445578776881301
2009-09-08,0.5537282785841094
2009-09-09,0.5486649255764499
2009-09-10,0.5535164338867322
2009-09-11,0.553773076107386
2009-09-14,0.5572661526546759
2009-09-15,0.5615602336637542
2009-09-16,0.5670155013791367
2009-09-17,0.5652317357153017
2009-09-18,0.5672239153782731
2009-09-21,0.5662165429812173
2009-09-22,0.5642262075281835
2009-09-23,0.5656720591680812
2009-09-24,0.565821542669291
2009-09-25,0.5618184869306225
2009-09-28,0.564845177606381
2009-09-29,0.566411414821995
2009-09-30,0.5667577708579684
2009-10-01,0.5575469618158608
2009-10-02,0.5613792188997515
2009-10-05,0.5658819355831056
2009-10-06,0.5651244601866467
2009-10-07,0.5656664799180444
2009-10-08,0.5724684463398853
2009-10-09,0.5797670115016732
2009-10-12,0.5776310265962366
2009-10-13,0.5763910316816907
2009-10-14,0.5814592422864724
2009-10-15,0.5814363870240287
2009-10-16,0.5809218555121303
2009-10-19,0.5781127537415522
2009-10-20,0.5755014203793395
2009-10-21,0.5789229064087568
2009-10-22,0.5799176812612203
2009-10-23,0.5821201068909709
2009-10-26,0.5849094943255785
2009-10-27,0.5753734959928686
2009-10-28,0.569738325449813
2009-10-29,0.577016414970101
2009-10-30,0.5664967515777197
2009-11-02,0.5717911256365069
2009-11-03,0.5756975407313324
2009-11-04,0.5743220851433305
2009-11-05,0.5744096212603194
2009-11-06,0.5734189060331778
2009-11-09,0.5753683220067916
2009-11-10,0.5755497567546625
2009-11-11,0.5737602853603124
2009-11-12,0.5744272312761544
2009-11-13,0.5716154251832426
2009-11-16,0.571582574468843
2009-11-17,0.570592743908893
2009-11-18,0.5710111455205201
2009-11-19,0.5715069759077345
2009-11-20,0.5740707756674839
2009-11-23,0.5734715451909924
2009-11-24,0.571592401063881
2009-11-25,0.5697686686585138
2009-11-27,0.5659624131756509
2009-11-30,0.565007362945152
2009-12-01,0.5706563509390121
2009-12-02,0.5711486576139349
2009-12-03,0.5720422586717501
2009-12-04,0.5767617967061247
2009-12-07,0.5777705579124272
2009-12-08,0.5759886748635302
2009-12-09,0.5793158406631947
2009-12-10,0.5817009046900397
2009-12-11,0.5848025890549821
2009-12-14,0.586278543750421
2009-12-15,0.5899148878855971
2009-12-16,0.5890186406240667
2009-12-17,0.5861808287144278
2009-12-18,0.5867887041675616
2009-12-21,0.5913836654745965
2009-12-22,0.5951515585471693
2009-12-23,0.594696276714823
2009-12-24,0.599715691698787
2009-12-28,0.599561206971649
2009-12-29,0.5945491855824933
2009-12-30,0.5963808116634071
2009-12-31,0.598193102800513
2010-01-04,0.5997249836675554
2010-01-05,0.5997067184098966
2010-01-06,0.6030339275899921
2010-01-07,0.6047183171807283
2010-01-08,0.6043407350856964
2010-01-11,0.6031712892991047
2010-01-12,0.5989372493549779
2010-01-13,0.6027942210900779
2010-01-14,0.6012955589373328
2010-01-15,0.5991018153087528
2010-01-19,0.5988604578778598
2010-01-20,0.5983828983915486
2010-01-21,0.5874770242579422
2010-01-22,0.5827922298384454
2010-01-25,0.5837213048335004
2010-01-26,0.5860143498197999
2010-01-27,0.5883382427374734
2010-01-28,0.586676338636916
2010-01-29,0.579989736419398
2010-02-01,0.5853986991984736
2010-02-02,0.5853208753138237
2010-02-03,0.5889245369599623
2010-02-04,0.5806229681358119
2010-02-05,0.5789947878790441
2010-02-08,0.5759211896944207
2010-02-09,0.578407026068862
2010-02-10,0.5750936059538193
2010-02-11,0.5760963532813523
2010-02-12,0.5750879049067029
2010-02-16,0.5784926228262762
2010-02-17,0.5848941643709347
2010-02-18,0.5908409848049634
2010-02-19,0.5927050866759249
2010-02-22,0.5931147863159918
2010-02-23,0.587405476513498
2010-02-24,0.5871236105022913
2010-02-25,0.5878082653902976
2010-02-26,0.5878761030246171
2010-03-01,0.5875699841156402
2010-03-02,0.5901354294201048
2010-03-03,0.5895156105042183
2010-03-04,0.5897097092101496
